id,url,name,age,gender,cafe_cat,kid_approved,dog_approved,companion_cat,bonded_pair,single_cat,type,description,system_import_at
17575802,https://catcafebk.com/our-cats/?cat=17575802,Castle,7 Years 8 Months , Female,False,True,False,True,False,True,Domestic Short Hair ,"Castle is the sweetest friend to have around the house. She might be a little slow to warm up to you at first, but once you have won her loyalty, this tabby won’t be afraid to follow you around, nudge, and nuzzle you. She will greet you at the door when you come home each day and will meow when she’s hungry or when she wants you to wake up and give her attention. She goes absolutely crazy for chicken treats and will climb onto your lap for one. Castle is independent, explorative, and confident, and a sweet household companion who takes great interest in all that her humans do. She does have some kidney issues, which are currently stable but requires a special food – which, luckily, she loves. Castle would make a great pet for any family. She is very low maintenance and mostly likes to lay in a soft bed and explore when it’s quiet, but she’s even happier when rubbing against her humans and being pet. Castle is in need of an echocardiogram and dental surgery, but we'd be happy to partner with her adopters to ensure that this lady gets the treatment that she needs to be happy and healthy.",2023-03-13 13:36:56+00:00
18995049,https://catcafebk.com/our-cats/?cat=18995049,Cheeseburger & Small Fries,7 Months 8 Days ,,False,True,True,False,True,False,Domestic Short Hair ,"Small Fries and Cheeseburger are the perfect combo. Small Fries (orange tabby) is no longer small. He has become quite the cuddlebug! He makes a great sleeping companion and quite enjoys pets. He has a moderate level of energy, so he’s neither bouncing off the walls or a total cat bed potato. The perfect level of kitten playfulness and zen. Cheeseburger could definitely be a kitty model. She is a dilute tabby with faint shades of orange, including a slice of cheddar cheese on her forehead. She enjoys pets before dinnertime and laying around like she owns the place. These kittens would do well in a quiet household and get along well with other cats.",2023-03-13 13:36:56+00:00
19006442,https://catcafebk.com/our-cats/?cat=19006442,CoCo,2 Years 2 Months , Female,False,True,False,False,False,False,Domestic Short Hair ,"CoCo is a love bug who adores other cats and humans. She is obsessed with being pet and will roll on the floor with happiness. She was found near a demolished house where she may have previously lived. She is smart, tidy, quiet and very gentle. She would make an incredible companion to another playful cat.",2023-03-13 13:36:56+00:00
19072619,https://catcafebk.com/our-cats/?cat=19072619,Cookie & Cleo,1 Year 5 Months , Female,False,False,False,False,True,False,Domestic Short Hair ,"Cookie and Cleo are playful and bonded sisters. Cleo loves to chase flies and feathers. Cookie love to play, she will throw around the space piece of dry food and jump on it to eat it as if it was a prey. They both absolutely love to watch outside the window, Cookie prefers to roll on her back so you can scratch her belly. They prefer to be pet on the ground and not picked up and are great with kids.",2023-03-13 13:36:56+00:00
19061860,https://catcafebk.com/our-cats/?cat=19061860,Cork & Maple,4 Months 20 Days ,,False,True,True,False,True,False,Domestic Short Hair ,"Maple and Cork are two absolutely adorable kittens with sweetness and goofiness to spare. It’s hard to snap photos of these speedy siblings because they’ve always got the zoomies! Their favorite things are climbing your legs like a tree, pouncing on cat toys with a vengeance, and purring angelically when their kitten energy finally runs out. Maple is a very handsome black cat with a big belly and gorgeous green eyes. When he’s not wrestling with his sister, he’s a sucker for scritches and being held like a baby. Cork is a very petite girl with the smallest, cutest kissable face. She loves playing hide and seek and finding new heights to climb around the apartment. Together they’re an unstoppable pair, and would bring so much love and laughter to their adoptive home.",2023-03-13 13:36:56+00:00
18666870,https://catcafebk.com/our-cats/?cat=18666870,Corso,1 Year 7 Months , Male,False,True,True,False,False,False,Domestic Short Hair ,"Corso will be a sweet little addition to a patient household. Rescued from a Staten Island hoarding situation, he’s shy and wary at first but has warmed up immensely to become a funny little lovebug! He spends a lot of the day napping and lazing but will come out to socialize whenever you call for him, and likes to be underfoot wherever you are just so you know he’s there. Lately he’s been a fan of perching on top of the kitchen cabinets so he gets a good view of all the action. Corso loves bare feet and will rub his face on your toes! Scritches are very much welcomed as well, especially on the head and under the chin. Corso is a happy eater and litter box pro. While he’s not quite ready to crawl into your lap on his own, he’s open to being picked up and cuddled so maybe he’s close! He’s curious about windows and will try to climb them to check out the views. Corso likes playing with his catnip mice and sushi toys around the house, and loves batting at his wand toy, especially in the evening.",2023-03-13 13:36:56+00:00
18928108,https://catcafebk.com/our-cats/?cat=18928108,"Crest, Colgate & Oral B",7 Months 12 Days ,,False,True,True,False,True,False,Domestic Short Hair ,"Crest, Colgate, and Oral B are playful, full of energy and always wrestling and chasing each other. They’re extremely affectionate and will start purring as soon as they catch sight of you and they are obsessed with cuddling. Crest (grey with white belly and feet) is very curious and the adventurer of the bunch. She is the most cuddly and loves to steal all of the attention to get all of the pets. Colgate (brown tabby) is spunky and makes the cutest little expressions. Colgate loves playing with his sisters and could chase a toy on a string for hours. Oral B (grey with spots) has giant yellow/green eyes that will melt your heart. These kittens would love to be adopted as a trio. They have a sibling that tested positive for FeLV so can’t be adopted into a home with other cats until they can get retested when they are older. We’d be happy to talk more about this if you have any questions.",2023-03-13 13:36:56+00:00
18576182,https://catcafebk.com/our-cats/?cat=18576182,Daniel Tiger,4 Years 11 Months , Male,False,True,False,False,False,False,Domestic Short Hair ,"Don’t be fooled by the semi-grumpy face – it is hard to take a good picture of Daniel Tiger because he prefers to snuggle as close as he possibly can! Daniel Tiger is a beautiful, chunky, pet-loving cat with a very loud, deep purr.  He recently became an indoor cat and is adjusting so well – his litter box habits are impeccable, he loves pets, and he is very sweet.  His hobbies include snuggling with stuffed animals, getting many pets and chin-scratches, and snoozing.  He has learned that he loves toys and especially loves the cat dancer.  We would guess that he would be a solid mouser, should that skill be necessary.  Daniel recently sat on his first lap, and likes to sit very close to whoever is petting him. He seems to like other cats and would be happy with a friend (although the resident cats in his foster home do not return the sentiment). He is a very special guy! Daniel is in need of dental surgery and we are hoping his adopters can help cover the cost – we’re happy to talk more about this!",2023-03-13 13:36:56+00:00
18259464,https://catcafebk.com/our-cats/?cat=18259464,Dipsy & Tinky Winky,1 Year 0 Months ,,False,True,True,False,True,False,Domestic Short Hair ,"Dipsy and Tinky Winky are adorable, curious and wonderful to love. Dipsy is the most playful boy you’ll ever meet. A curious kitty that can make a game out of anything… and he will! He loves scratches and attention. He likes to sit in your lap and cuddle for a snooze before getting back to playtime! Always the first to initiate playtime with his siblings, he knows how to have a good time. He’s a brave and adventurous boy. With his silky black and white fur, crisp green eyes, and a long and languid frame, Dipsy looks ever at ease stretched out on a favorite chair in the sun. The braver of the pair, he is adventurous, easygoing, and eager to explore. Tinky Winky takes her time sizing things up, but is well worth the wait. This stunning girl never refuses a treat. A true beauty, petite and with piercing eyes and a perfectly tabby patterned coat, she is shy, but so very sweet.",2023-03-13 13:36:56+00:00
17759824,https://catcafebk.com/our-cats/?cat=17759824,Dolly & Lulu,13 Years 11 Months , Female,False,True,False,False,True,False,Domestic Short Hair (short coat) ,"Dolly and Lulu are bonded 13-year-old sister lap cats who are affectionate and loving. Lulu is the black cat and Dolly is the white cat with black spots. They cuddle together like yin and yang. They are also very much enjoy human company and warm people laps. Even though they are 13 years old, they still love to play with feathers, lasers and balls. Lulu was born to be a lap kitty. Whomever is lucky enough to have Lulu in their lap, will be rewarded with a look of complete adoration and a warm purr. Lulu loves affection, she loves company and she loves chilling out with her sister Dolly. She is a true lover. Dolly has an intrepid, brave spirit while still being very affectionate. She very rarely cries and asks for very little (other than some delicious wet food). She is very intuitive and often knows when you are feeling stressed or down in which case she will come hop on your lap.She still loves to play feather games and has caught more laser beams than any other cat on the block. Their current owner rescued them outdoors as kittens but a parent who is allergic to cats is moving in with the family and she can no longer keep them. Lulu is missing her right front paw, but it has caused her no trouble at all. Dolly and Lulu are spayed and up to date on vaccines. Both cats will need some extra medical care. Lulu needs dental work. Dolly could likely use dental work as well and might do well to take a joint supplement. Interested adopters can discuss with their current owner any costs for their care. *Courtesy Posting: This cat is being independently offered for adoption by a rescuer who is not a representative of BBAWC or Brooklyn Cat Cafe. The rescuer offering this cat is responsible for the content of this post and any medical records and vaccines. BBAWC and Brooklyn Cat Cafe cannot vouch for any information in this post. An adoption fee will be charged by the rescuer.",2023-03-13 13:36:56+00:00
